Timestamp,IQ.van.je.buur,Eigen.IQ,sekse
19/09/13 21:19,130,124,0
19/09/13 21:24,120,100,0
19/09/13 21:24,120,156,0
20/09/13 11:05,100,145,0
20/09/13 11:05,100,145,0
20/09/13 11:05,125,116,0
20/09/13 11:06,134,129,0
20/09/13 11:06,120,120,0
20/09/13 11:06,128,125,0
20/09/13 11:06,130,125,0
20/09/13 11:06,115,114,0
20/09/13 11:06,145,120,0
20/09/13 11:06,125,125,0
20/09/13 11:06,120,110,0
20/09/13 11:06,123,125,1
20/09/13 11:06,145,125,1
20/09/13 11:06,120,120,0
20/09/13 11:06,120,115,0
20/09/13 11:06,120,125,1
20/09/13 11:06,120,120,0
20/09/13 11:06,117,115,0
20/09/13 11:06,120,115,1
20/09/13 11:06,130,130,0
20/09/13 11:06,120,120,0
20/09/13 11:06,116,114,0
20/09/13 11:06,110,110,1
20/09/13 11:06,134,127,0
20/09/13 11:06,120,125,0
20/09/13 11:06,125,118,0
20/09/13 11:06,120,120,1
20/09/13 11:06,130,130,0
20/09/13 11:06,118,115,0
20/09/13 11:06,114,115,0
20/09/13 11:06,120,115,0
20/09/13 11:06,130,120,0
20/09/13 11:06,110,110,0
20/09/13 11:06,115,115,1
20/09/13 11:06,125,122,0
20/09/13 11:06,115,110,0
20/09/13 11:07,120,120,1
20/09/13 11:07,140,125,0
20/09/13 11:07,120,118,1
20/09/13 11:07,120,112,0
20/09/13 11:07,110,145,0
20/09/13 11:07,120,120,0
20/09/13 11:07,165,115,1
20/09/13 11:07,121,125,0
20/09/13 11:07,120,120,0
20/09/13 11:08,125,110,1
20/09/13 11:09,125,125,0
20/09/13 11:29,125,118,0
21/09/13 11:17,117,115,1
15/09/14 20:51,120,120,0
15/09/14 20:53,120,120,0
15/09/14 20:54,120,120,0
18/09/14 09:21,115,110,0
18/09/14 09:21,120,110,0
18/09/14 09:21,130,119,1
18/09/14 09:21,124,128,0
18/09/14 09:21,110,104,0
18/09/14 09:21,125,130,0
18/09/14 09:21,110,110,0
18/09/14 09:21,73,120,0
18/09/14 09:21,125,125,1
18/09/14 09:21,115,111,0
18/09/14 09:21,60,160,0
18/09/14 09:21,115,115,0
18/09/14 09:21,125,110,0
18/09/14 09:21,130,125,0
18/09/14 09:21,102,139,0
18/09/14 09:21,127,128,1
18/09/14 09:21,120,111,0
18/09/14 09:21,125,125,0
18/09/14 09:21,110,140,0
18/09/14 09:21,120,117,0
18/09/14 09:21,118,125,1
18/09/14 09:21,120,110,1
18/09/14 09:21,102,139,1
18/09/14 09:21,127,120,0
18/09/14 09:22,125,125,0
18/09/14 09:22,127,125,0
18/09/14 09:22,120,120,1
18/09/14 09:22,125,115,1
18/09/14 09:22,130,130,0
18/09/14 09:22,120,116,0
18/09/14 09:22,136,120,0
18/09/14 09:22,120,120,1
18/09/14 09:22,115,114,0
18/09/14 09:22,120,120,0
18/09/14 09:22,120,120,0
18/09/14 09:22,120,120,1
18/09/14 09:22,110,120,0
18/09/14 09:22,123,126,0
18/09/14 09:22,130,125,0
18/09/14 09:22,125,125,0
18/09/14 09:22,125,119,1
18/09/14 09:22,120,110,0
18/09/14 09:22,120,120,0
18/09/14 09:22,110,120,0
18/09/14 09:22,117,115,1
18/09/14 09:22,115,115,0
18/09/14 09:22,125,125,0
18/09/14 09:22,121,119,0
18/09/14 09:22,125,135,1
18/09/14 09:22,120,118,0
18/09/14 09:22,123,126,0
18/09/14 09:22,120,120,0
18/09/14 09:22,120,120,1
18/09/14 09:22,130,125,1
18/09/14 09:22,125,125,1
18/09/14 09:22,115,110,0
18/09/14 09:22,130,120,1
18/09/14 09:22,120,120,1
18/09/14 09:22,120,120,0
18/09/14 09:22,110,110,0
18/09/14 09:22,116,113,0
18/09/14 09:22,115,115,0
18/09/14 09:22,129,126,0
18/09/14 09:22,115,100,1
18/09/14 09:22,125,130,0
18/09/14 09:22,125,130,1
18/09/14 09:22,130,125,0
18/09/14 09:22,135,130,0
18/09/14 09:22,190,52,0
18/09/14 09:22,115,120,0
18/09/14 09:22,150,115,1
18/09/14 09:22,125,118,0
18/09/14 09:22,120,120,0
18/09/14 09:22,135,140,1
18/09/14 09:22,125,125,0
18/09/14 09:22,125,130,0
18/09/14 09:22,130,140,1
18/09/14 09:22,118,122,1
18/09/14 09:22,125,135,0
18/09/14 09:22,130,130,1
18/09/14 09:22,120,130,0
18/09/14 09:22,150,150,0
18/09/14 09:23,115,115,0
18/09/14 09:23,120,100,0
18/09/14 09:23,128,128,0
18/09/14 09:23,115,115,1
18/09/14 09:23,120,120,0
18/09/14 09:23,123,125,1
18/09/14 09:23,120,125,0
18/09/14 09:23,51,51,0
18/09/14 09:23,120,125,1
18/09/14 09:23,123,139,1
18/09/14 09:23,135,125,0
18/09/14 09:23,125,135,0
18/09/14 09:23,115,110,0
18/09/14 09:23,120,120,0
18/09/14 09:24,150,130,0
18/09/14 09:24,125,120,0
18/09/14 09:29,50,110,0
18/09/14 11:32,117,115,0
18/09/14 11:48,150,150,0
